        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 CPD entry           |                       | 0022E02C | 00000018 | 42FAE88B | ----- dal_ivm
 CPD entry           |                       | 0022E044 | 00000018 | C545A650 | ----- dal_lnch
 CPD entry           |                       | 0022E05C | 00000018 | 8F39F06C | ----- dal_sdm
 CPD entry           |                       | 0022E074 | 00000018 | AC4A6A3D | ----- adspa
 CPD entry           |                       | 0022E08C | 00000018 | 98944414 | ----- iunitcse
 CPD entry           |                       | 0022E0A4 | 00000018 | 02BE21C0 | ----- pavp
 CPD entry           |                       | 0022E0BC | 00000018 | 044B4135 | ----- sigma
 CPD entry           |                       | 0022E0D4 | 00000018 | 7F8299C2 | ----- hotham
 CPD entry           |                       | 0022E0EC | 00000018 | A9DC8F30 | ----- ish_srv
 CPD entry           |                       | 0022E104 | 00000018 | B886B46E | ----- mctp
 CPD entry           |                       | 0022E11C | 00000018 | 9B48DFCC | ----- icc
 CPD entry           |                       | 0022E134 | 00000018 | A1E8CCC9 | ----- tls_iso
 CPD entry           |                       | 0022E14C | 00000018 | 01D78120 | ----- vdm
 CPD partition       | Manifest              | 0022E164 | 00000420 | 12243CCB | ---- NFTP.man
 CPD extension       |                       | 0022E4E8 | 00000034 | BA08D8AF | ----- Signed Package Info
 CPD extension       |                       | 0022E51C | 00000068 | C6CA3129 | ----- IFWI Partition Manifest
 Padding             | Empty (FFh)           | 0022E584 | 0000003C | F48CF14D | ---- Padding
 CPD partition       | Code                  | 0022E5C0 | 0004B100 | 5BC68060 | ---- dal_ivm
 CPD partition       | Code                  | 002796C0 | 000026C0 | 3EDE5CD5 | ---- dal_lnch
 CPD partition       | Code                  | 0027BD80 | 00007600 | 1B4D2BCB | ---- dal_sdm
 CPD partition       | Code                  | 00283380 | 00001640 | 10F5C54D | ---- adspa
 CPD partition       | Code                  | 002849C0 | 00002D40 | 5696D160 | ---- iunitcse
 CPD partition       | Code                  | 00287700 | 00029907 | 37EB41EC | ---- pavp
 Padding             | Empty (FFh)           | 002B1007 | 00000039 | D5B7903F | ---- Padding
 CPD partition       | Code                  | 002B1040 | 00007040 | 649EEA0B | ---- sigma
 CPD partition       | Code                  | 002B8080 | 00005100 | 6E1BD4A5 | ---- hotham
